Comparison|||The company had a tax credit of $1.4 million|||In the year-earlier quarter, the tax credit was $3.3 million
Comparison|||In sum, the biases ennumerated above indicate a 0.7 percentage point understatement in growth of total real GNP|||For the private domestic business economy, the bias was a bit over 0.5 percentage point
Comparison|||For each poll, the odds are 19 out of 20 that if pollsters had sought to survey every household in the U.S. using the same questionnaire, the findings would differ from these poll results by no more than 2 1/2 percentage points in either direction|||The margin of error for subgroups -- for example, married women with children at home -- would be larger
Comparison|||Conasupo controls prices on agricultural goods and operates retail outlets where basic consumer items are sold at state-subsidized prices|||Business leaders have long criticized the agency as a leading example of bureacratic waste
Comparison|||In an Oct. 10 editorial-page article, "It's the World Bank's Turn to Adjust," Paul Craig Roberts lays most of the blame for what ails developing countries at the doorstep of the World Bank|||The article is, unfortunately, replete with outrageous distortions
Comparison|||One of Mr. Roberts's observations is that the Bank's own loan portfolio is in deep trouble because of its lending to developing countries|||This is just not so
Comparison|||Another of Mr. Roberts's criticisms is that Bank lending has done more harm than good "by implanting the wrong incentives and deflecting energy away from economic development|||Here, too, Mr. Roberts is way off the mark
Comparison|||Mr. Roberts also takes a swipe at the Bank's adjustment lending|||What are the facts on this type of lending
Comparison|||Over the years, it has helped encourage investments by entrepreneurs in the Third World through its extensive credit operations and through loans and investments by the International Finance Corp|||Most recently, the Bank Group has been expanded to include the Multilateral Investment Guarantee Agency to stimulate direct foreign investment in developing countries by offering guarantees against noncommercial risk and advice to member countries on how to improve their business climate
Comparison|||Mr. Lipstein's absence from the meeting here raised speculation that the sale is in trouble|||Mr. Lipstein said in a telephone interview from New York that the sale was proceeding as planned
Comparison|||The magazine is strong|||It's simply the right time to do what we are doing
Comparison|||Mr. Ritterman said that in the next six months he will take $50 million from the Soap Opera Digest sale to acquire new magazines|||He would not reveal which magazines he is considering
Comparison|||Jerell paid Ms. Garratt royalties for the line known as Multiples by Sandra Garratt|||Ms. Garratt sued the Dallas apparel maker earlier this year, charging that Jerell developed and marketed clothing lines fashioned after her designs, in violation of their contract
Comparison|||Operating profit from carbon products, such as graphite electrodes, also declined, to $6 million from $20 million|||In the industrial-gases segment, operating profit climbed to $87 million from $58 million
Comparison|||but he wouldn't disclose their names|||Sources close to the company and ad agencies that work with Meredith said leading advertisers in consumer electronics, packaged goods and automotive products were among those negotiating ad packages with the Meredith group
Comparison|||Fund managers don't like to have rights issues that don't have an obvious reason|||The obvious reason was (for British Air) to buy a stake in United Airlines
Comparison|||Underwriters led by Lazard Brothers & Co. will pick up the rest of the airline's offer of four convertible capital bonds for every nine common shares|||Lazard and other primary underwriters have reduced or eliminated their exposure by sub-underwriting the issue among U.K. institutional investors
Comparison|||that the move has set off a board room split, which may lead to the resignation of Sir Colin Marshall, the carrier's chief executive officer|||The stories are rubbish
Comparison|||Robert J. Penn, president and chief executive officer, will take early retirement from this steelmaker Dec 31|||Mr. Penn, 58 years old, would continue as a consultant and would work with the board in selecting a successor
